,Date,Year,Temperature,PrecipIntensity,PrecipProbability,Pressure,Sunlight,DewPoint,Country,State
0,02-01-2019,#VALUE!,54.89958333,0.000554167,0.05875,1012.1125,0.666666667,48.08875,Fresno,CA
1,02-02-2019,#VALUE!,55.20458333,0.042195833,0.684583333,1003.739167,0.583333333,48.705,Fresno,CA
2,02-03-2019,#VALUE!,53.63166667,0.010879167,0.372916667,1007.328333,0.583333333,46.94333333,Fresno,CA
3,02-04-2019,#VALUE!,50.66875,0.018958333,0.430833333,1005.903333,0.625,43.65458333,Fresno,CA
4,02-05-2019,#VALUE!,43.50956522,0.004617391,0.214347826,1012.17,0.652173913,34.39782609,Fresno,CA
5,02-06-2019,#VALUE!,40.97416667,0.001013636,0.015,1022.29,0.869565217,28.48708333,Fresno,CA
6,02-07-2019,#VALUE!,43.51695652,0.000278261,0.007391304,1025.523478,0.869565217,30.2026087,Fresno,CA
7,02-08-2019,#VALUE!,45.61083333,0.004372727,0.165,1018.9475,0.772727273,32.69416667,Fresno,CA
8,02-09-2019,#VALUE!,48.84541667,0.004079167,0.145833333,1015.112083,0.708333333,40.065,Fresno,CA
9,02-10-2019,#VALUE!,44.88041667,0.013666667,0.305416667,1016.56375,0.75,35.64625,Fresno,CA
10,02-11-2019,#VALUE!,41.84833333,0.000417391,0.016086957,1023.7875,0.913043478,28.69083333,Fresno,CA
11,02-12-2019,#VALUE!,44.73416667,0,0,1018.270417,0.869565217,32.64333333,Fresno,CA
12,2/13/19,2019,57.39041667,0.009295238,0.316666667,1008.003333,0.565217391,44.32166667,Fresno,CA
13,2/14/19,2019,59.43291667,0.007547826,0.304347826,1005.071667,0.909090909,49.28041667,Fresno,CA
14,2/15/19,2019,48.06166667,0.018056522,0.52173913,1016.999583,0.75,43.61875,Fresno,CA
15,2/16/19,2019,43.81791667,0.006858333,0.423333333,1021.7875,0.75,39.14875,Fresno,CA
16,2/17/19,2019,41,0.007958333,0.223333333,1018.085,0.75,35.93375,Fresno,CA
17,2/18/19,2019,41.20666667,0.000225,0.017083333,1021.553333,0.695652174,33.20333333,Fresno,CA
18,2/19/19,2019,42.61625,0,0,1022.312083,0.958333333,31.0525,Fresno,CA
19,2/20/19,2019,43.88826087,0.000113043,0.013913043,1013.309565,0.826086957,33.91913043,Fresno,CA
20,2/21/19,2019,43.42458333,0.000479167,0.035833333,1006.367083,0.75,34.97916667,Fresno,CA
21,2/22/19,2019,43.55826087,0,0,1018.778696,0.956521739,32.02565217,Fresno,CA
22,2/23/19,2019,45.4025,1.30E-05,0.004782609,1026.608333,1.130434783,33.78666667,Fresno,CA
23,2/24/19,2019,50.15954545,0,0,1022.743043,1.086956522,37.81954545,Fresno,CA
24,2/25/19,2019,57.275,0,0,1016.97625,1.166666667,38.85166667,Fresno,CA
25,2/26/19,2019,58.37043478,0,0,1016.21087,1.217391304,39.41652174,Fresno,CA
26,2/27/19,2019,59.0275,0.000454545,0.041818182,1017.809167,0.739130435,45.355,Fresno,CA
27,2/28/19,2019,58.04833333,0.002178261,0.127826087,1019.545417,0.826086957,50.94625,Fresno,CA
28,03-01-2019,#VALUE!,54.99,0,0,1017.936957,0.863636364,48.2126087,Fresno,CA
29,03-02-2019,#VALUE!,58.17136364,0.028980952,0.604761905,1012.266087,1,52.47045455,Fresno,CA
30,03-03-2019,#VALUE!,58.45136364,0.000863158,0.056315789,1016.874091,0.75,50.13909091,Fresno,CA
31,03-04-2019,#VALUE!,55.78863636,0,0,1018.683043,1.130434783,45.65863636,Fresno,CA
32,03-05-2019,#VALUE!,54.46347826,0.006008696,0.250869565,1013.816957,1,47.38391304,Fresno,CA
33,03-06-2019,#VALUE!,58.67913043,0.007528571,0.34,1009.932174,0.954545455,50.09347826,Fresno,CA
34,03-07-2019,#VALUE!,52.96521739,0.001954545,0.082727273,1015.723478,0.956521739,44.23695652,Fresno,CA
35,03-08-2019,#VALUE!,49.10458333,0.001291304,0.100434783,1017.6875,1.083333333,37.65791667,Fresno,CA
36,03-09-2019,#VALUE!,48.08086957,0.001847619,0.084285714,1016.045217,1.227272727,36.60130435,Fresno,CA
37,03-10-2019,#VALUE!,50.22727273,6.00E-05,0.004,1014.513182,1.363636364,38.29454545,Fresno,CA
38,03-11-2019,#VALUE!,52.1525,0,0,1015.8275,1.434782609,39.16708333,Fresno,CA
39,03-12-2019,#VALUE!,53.11086957,0,0,1011.528333,1.391304348,40.57130435,Fresno,CA
40,3/13/19,2019,50.35478261,0,0,1019.148696,1.304347826,34.83869565,Fresno,CA
41,3/14/19,2019,52.32333333,0,0,1024.08875,1.5,34.4825,Fresno,CA
42,3/15/19,2019,54.87130435,0,0,1022.868696,1.391304348,35.32478261,Fresno,CA
43,3/16/19,2019,58.02681818,0,0,1020.567727,1.238095238,37.73454545,Fresno,CA
44,3/17/19,2019,60.86375,0,0,1018.657083,1.541666667,40.54875,Fresno,CA
45,3/18/19,2019,64.99333333,0,0,1014.835,1.608695652,42.07666667,Fresno,CA
46,3/19/19,2019,65.11666667,0.003486957,0.07826087,1011.652917,1.625,42.40458333,Fresno,CA
47,3/20/19,2019,56.21217391,0.003780952,0.114761905,1016.13,1.260869565,45.44521739,Fresno,CA
48,3/21/19,2019,54.34416667,6.96E-05,0.011304348,1019.023333,1.173913043,44.11416667,Fresno,CA
49,3/22/19,2019,55.39041667,0,0,1021.750833,1.583333333,42.33583333,Fresno,CA
50,3/23/19,2019,56.22541667,0.001441667,0.122916667,1021.435417,1.166666667,44.78125,Fresno,CA
51,3/24/19,2019,56.26454545,0,0,1022.648636,2,41.37409091,Fresno,CA
52,3/25/19,2019,62.21391304,0,0,1018.666087,1.869565217,37.08217391,Fresno,CA
53,3/26/19,2019,61.3325,0,0,1016.05375,1.347826087,42.57291667,Fresno,CA
54,3/27/19,2019,60.03083333,0.0034,0.199090909,1016.225,1.083333333,48.51833333,Fresno,CA
55,3/28/19,2019,58.35166667,0.001129167,0.069166667,1022.8475,1.833333333,42.78541667,Fresno,CA
56,3/29/19,2019,55.86541667,0,0,1025.13625,1.875,40.05583333,Fresno,CA
57,3/30/19,2019,57.61541667,1.67E-05,0.00625,1022.664583,1.916666667,42.06333333,Fresno,CA
58,3/31/19,2019,61.11541667,2.08E-05,0.0025,1020.03875,1.916666667,44.92166667,Fresno,CA
59,04-01-2019,#VALUE!,64.43416667,4.58E-05,0.00875,1014.903333,2,45.22208333,Fresno,CA
60,04-02-2019,#VALUE!,62.3075,0.0017,0.0725,1011.74875,1.541666667,48.72708333,Fresno,CA
